"county","year","county_er_visits","total_pop_count","percentage_visits_in_pop"
"FAIRFIELD",2010,4274,918339,0.465405476626823
"FAIRFIELD",2011,4464,925899,0.482126020224668
"FAIRFIELD",2012,4826,933835,0.516793651983487
"FAIRFIELD",2013,4233,939904,0.450365143674248
"FAIRFIELD",2014,3783,945438,0.40013200231004
"FAIRFIELD",2015,3598,948053,0.379514647387857
"FAIRFIELD",2016,3648,944177,0.386368233922241
"FAIRFIELD",2017,3622,949921,0.381294865573032
"FAIRFIELD",2018,3603,943823,0.381745306058445
"FAIRFIELD",2019,3402,943332,0.360636552136469
"HARTFORD",2010,6824,894127,0.763202542815506
"HARTFORD",2011,7447,894705,0.832341386266982
"HARTFORD",2012,7205,897259,0.803001140139023
"HARTFORD",2013,6896,898272,0.767696198924157
"HARTFORD",2014,7268,897985,0.809367639771266
"HARTFORD",2015,6326,895841,0.706152096186712
"HARTFORD",2016,6373,892389,0.714150443360463
"HARTFORD",2017,5986,895388,0.668536991784567
"HARTFORD",2018,5855,892697,0.65587763821319
"HARTFORD",2019,5273,891720,0.59132911676311
"LITCHFIELD",2010,663,189751,0.349405273226492
"LITCHFIELD",2011,766,188789,0.405743978727574
"LITCHFIELD",2012,640,187530,0.341278728736735
"LITCHFIELD",2013,603,186924,0.32259099955062
"LITCHFIELD",2014,640,184993,0.34595903628786
"LITCHFIELD",2015,536,183603,0.291934227654232
"LITCHFIELD",2016,439,182571,0.240454398562751
"LITCHFIELD",2017,427,182177,0.234387436394276
"LITCHFIELD",2018,409,181111,0.225828359403901
"LITCHFIELD",2019,412,180333,0.228466226370104
"MIDDLESEX",2010,715,165630,0.431685081205096
"MIDDLESEX",2011,741,166043,0.446269942123426
"MIDDLESEX",2012,696,165602,0.420284779169334
"MIDDLESEX",2013,672,165562,0.405890240514128
"MIDDLESEX",2014,602,164943,0.364974566971621
"MIDDLESEX",2015,587,164063,0.357789385784729
"MIDDLESEX",2016,492,163329,0.301232481678085
"MIDDLESEX",2017,483,163410,0.295575546172205
"MIDDLESEX",2018,445,162682,0.273539789282158
"MIDDLESEX",2019,461,162436,0.28380408283878
"NEW HAVEN",2010,6177,862438,0.716225398231525
"NEW HAVEN",2011,6792,861113,0.788746656942817
"NEW HAVEN",2012,6831,862813,0.791712688612712
"NEW HAVEN",2013,6160,862287,0.714379319182592
"NEW HAVEN",2014,6091,861277,0.707205695728552
"NEW HAVEN",2015,5615,859470,0.653309597775373
"NEW HAVEN",2016,5484,856875,0.64
"NEW HAVEN",2017,5497,860435,0.638862900742067
"NEW HAVEN",2018,5625,857620,0.655884890744152
"NEW HAVEN",2019,5349,854757,0.625791891730632
"NEW LONDON",2010,2458,274018,0.897021363560058
"NEW LONDON",2011,2446,273502,0.894326184086405
"NEW LONDON",2012,2427,274170,0.885217201006675
"NEW LONDON",2013,2117,274150,0.772204997264271
"NEW LONDON",2014,2064,273676,0.75417647144799
"NEW LONDON",2015,2049,271863,0.75368843866212
"NEW LONDON",2016,1642,269801,0.608596706461429
"NEW LONDON",2017,1634,269033,0.607360435336929
"NEW LONDON",2018,1499,266784,0.561877773779537
"NEW LONDON",2019,1502,265206,0.566352194143421
"TOLLAND",2010,582,152734,0.381054644021632
"TOLLAND",2011,578,152507,0.378998996767361
"TOLLAND",2012,489,151539,0.322689208718548
"TOLLAND",2013,421,151377,0.27811358396586
"TOLLAND",2014,442,151367,0.29200552300039
"TOLLAND",2015,392,151420,0.258882578259147
"TOLLAND",2016,396,151118,0.262046877274712
"TOLLAND",2017,380,151461,0.250889667967332
"TOLLAND",2018,344,150921,0.227933819680495
"TOLLAND",2019,369,150721,0.244823216406473
"WINDHAM",2010,835,118461,0.704873333839829
"WINDHAM",2011,894,118151,0.756658851808279
"WINDHAM",2012,727,117599,0.618202535735848
"WINDHAM",2013,611,117604,0.519540151695521
"WINDHAM",2014,733,116998,0.626506436007453
"WINDHAM",2015,819,116573,0.70256405857274
"WINDHAM",2016,660,116192,0.568025337372625
"WINDHAM",2017,767,116359,0.659166888680721
"WINDHAM",2018,707,117027,0.60413408871457
"WINDHAM",2019,590,116782,0.505214844753472
