"","Town","Number
of Cases, Total Pop","Number
of Cases, Females","Number
of Cases, Males"
"1","ALL CONNECTICUT","101834","51978","49856"
"2","ANDOVER","84","46","38"
"3","ANSONIA","592","301","291"
"4","ASHFORD","140","57","83"
"5","AVON","604","307","297"
"6","BARKHAMSTED","115","59","56"
"7","BEACON FALLS","174","83","91"
"8","BERLIN","666","342","324"
"9","BETHANY","156","85","71"
"10","BETHEL","536","267","269"
"11","BETHLEHEM","102","57","45"
"12","BLOOMFIELD","818","421","397"
"13","BOLTON","146","69","77"
"14","BOZRAH","83","48","35"
"15","BRANFORD","1088","559","529"
"16","BRIDGEPORT","3047","1563","1484"
"17","BRIDGEWATER","58","34","24"
"18","BRISTOL","1766","918","848"
"19","BROOKFIELD","535","253","282"
"20","BROOKLYN","205","106","99"
"21","BURLINGTON","245","107","138"
"22","CANAAN and No. CANAAN","186","94","92"
"23","CANTERBURY","156","78","78"
"24","CANTON","316","153","163"
"25","CHAPLIN","60","29","31"
"26","CHESHIRE","835","438","397"
"27","CHESTER","152","69","83"
"28","CLINTON","471","257","214"
"29","COLCHESTER","440","232","208"
"30","COLEBROOK","21","11","10"
"31","COLUMBIA","173","83","90"
"32","CORNWALL","57","24","33"
"33","COVENTRY","344","177","167"
"34","CROMWELL","446","213","233"
"35","DANBURY","1957","986","971"
"36","DARIEN","570","293","277"
"37","DEEP RIVER","137","73","64"
"38","DERBY","399","216","183"
"39","DURHAM","189","98","91"
"40","EAST GRANBY","153","70","83"
"41","EAST HADDAM","233","114","119"
"42","EAST HAMPTON","401","205","196"
"43","EAST HARTFORD","1460","741","719"
"44","EAST HAVEN","914","478","436"
"45","EAST LYME","627","340","287"
"46","EAST WINDSOR","350","168","182"
"47","EASTFORD","44","13","31"
"48","EASTON","225","112","113"
"49","ELLINGTON","391","191","200"
"50","ENFIELD","1319","688","631"
"51","ESSEX","245","124","121"
"52","FAIRFIELD","1678","886","792"
"53","FARMINGTON","921","395","526"
"54","FRANKLIN","48","22","26"
"55","GLASTONBURY","1003","518","485"
"56","GOSHEN","95","41","54"
"57","GRANBY","350","169","181"
"58","GREENWICH","1997","1063","934"
"59","GRISWOLD","359","175","184"
"60","GROTON","1239","660","579"
"61","GUILFORD","748","390","358"
"62","HADDAM","228","120","108"
"63","HAMDEN","1679","904","775"
"64","HAMPTON","51","24","27"
"65","HARTFORD","2526","1297","1229"
"66","HARTLAND","60","27","33"
"67","HARWINTON","185","97","88"
"68","HEBRON","244","106","138"
"69","KENT","83","34","49"
"70","KILLINGLY","503","268","235"
"71","KILLINGWORTH","221","91","130"
"72","LEBANON","189","107","82"
"73","LEDYARD","424","220","204"
"74","LISBON","134","70","64"
"75","LITCHFIELD","300","139","161"
"76","LYME","54","25","29"
"77","MADISON","579","295","284"
"78","MANCHESTER","1559","817","742"
"79","MANSFIELD","348","205","143"
"80","MARLBOROUGH","192","91","101"
"81","MERIDEN","1661","820","841"
"82","MIDDLEBURY","247","118","129"
"83","MIDDLEFIELD","130","70","60"
"84","MIDDLETOWN","1252","630","622"
"85","MILFORD","1694","882","812"
"86","MONROE","541","282","259"
"87","MONTVILLE","565","274","291"
