"","town","county"
"1","BETHEL","FAIRFIELD"
"2","BRIDGEPORT","FAIRFIELD"
"3","BROOKFIELD","FAIRFIELD"
"4","DANBURY","FAIRFIELD"
"5","DARIEN","FAIRFIELD"
"6","EASTON","FAIRFIELD"
"7","FAIRFIELD","FAIRFIELD"
"8","GREENWICH","FAIRFIELD"
"9","MONROE","FAIRFIELD"
"10","NEW CANAAN","FAIRFIELD"
"11","NEW FAIRFIELD","FAIRFIELD"
"12","NEWTOWN","FAIRFIELD"
"13","NORWALK","FAIRFIELD"
"14","REDDING","FAIRFIELD"
"15","RIDGEFIELD","FAIRFIELD"
"16","SHELTON","FAIRFIELD"
"17","SHERMAN","FAIRFIELD"
"18","STAMFORD","FAIRFIELD"
"19","STRATFORD","FAIRFIELD"
"20","TRUMBULL","FAIRFIELD"
"21","WESTON","FAIRFIELD"
"22","WESTPORT","FAIRFIELD"
"23","WILTON","FAIRFIELD"
"24","AVON","HARTFORD"
"25","BERLIN","HARTFORD"
"26","BLOOMFIELD","HARTFORD"
"27","BRISTOL","HARTFORD"
"28","BURLINGTON","HARTFORD"
"29","CANTON","HARTFORD"
"30","EAST GRANBY","HARTFORD"
"31","EAST HARTFORD","HARTFORD"
"32","EAST WINDSOR","HARTFORD"
"33","ENFIELD","HARTFORD"
"34","FARMINGTON","HARTFORD"
"35","GLASTONBURY","HARTFORD"
"36","GRANBY","HARTFORD"
"37","HARTFORD","HARTFORD"
"38","HARTLAND","HARTFORD"
"39","MANCHESTER","HARTFORD"
"40","MARLBOROUGH","HARTFORD"
"41","NEW BRITAIN","HARTFORD"
"42","NEWINGTON","HARTFORD"
"43","PLAINVILLE","HARTFORD"
"44","ROCKY HILL","HARTFORD"
"45","SIMSBURY","HARTFORD"
"46","SOUTHINGTON","HARTFORD"
"47","SOUTH WINDSOR","HARTFORD"
"48","SUFFIELD","HARTFORD"
"49","WEST HARTFORD","HARTFORD"
"50","WETHERSFIELD","HARTFORD"
"51","WINDSOR","HARTFORD"
"52","WINDSOR LOCKS","HARTFORD"
"53","BARKHAMSTED","LITCHFIELD"
"54","BETHLEHEM","LITCHFIELD"
"55","BRIDGEWATER","LITCHFIELD"
"56","CANAAN","LITCHFIELD"
"57","COLEBROOK","LITCHFIELD"
"58","CORNWALL","LITCHFIELD"
"59","GOSHEN","LITCHFIELD"
"60","HARWINTON","LITCHFIELD"
"61","KENT","LITCHFIELD"
"62","LITCHFIELD","LITCHFIELD"
"63","MORRIS","LITCHFIELD"
"64","NEW HARTFORD","LITCHFIELD"
"65","NEW MILFORD","LITCHFIELD"
