"submission_year","tri_facility_id","tri_facility_name","rsei_media","county","state","chemical","industry_sector","new_industry_flag","rsei_score"
2019,"06037MHRTN225EP","CORBIN RUSSWIN","Stack Air Releases","HARTFORD","CT","Chromium compounds","332 Fabricated Metals","False",3629876.67559
2019,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Stack Air Releases","NEW HAVEN","CT","Cobalt compounds","331 Primary Metals","False",1051511.12246
2007,"06473NTDST195MC","COVIDIEN LP","Stack Air Releases","NEW HAVEN","CT","Ethylene oxide","339 Miscellaneous Manufacturing","False",1036092.73492
2008,"06473NTDST195MC","COVIDIEN LP","Stack Air Releases","NEW HAVEN","CT","Ethylene oxide","339 Miscellaneous Manufacturing","False",994574
2011,"06473NTDST195MC","COVIDIEN LP","Stack Air Releases","NEW HAVEN","CT","Ethylene oxide","339 Miscellaneous Manufacturing","False",961344
2010,"06473NTDST195MC","COVIDIEN LP","Stack Air Releases","NEW HAVEN","CT","Ethylene oxide","339 Miscellaneous Manufacturing","False",933613
2017,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Cobalt compounds","331 Primary Metals","False",921724
2016,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Cobalt compounds","331 Primary Metals","False",918658
2015,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Cobalt compounds","331 Primary Metals","False",915716
2009,"06037MHRTN225EP","CORBIN RUSSWIN","Stack Air Releases","HARTFORD","CT","Chromium compounds","332 Fabricated Metals","False",915540
2008,"06037MHRTN225EP","CORBIN RUSSWIN","Stack Air Releases","HARTFORD","CT","Chromium compounds","332 Fabricated Metals","False",913353
2014,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Cobalt compounds","331 Primary Metals","False",912907
2012,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Cobalt","331 Primary Metals","False",907543
2010,"06708MRRRP346HU","MIRROR POLISHING & PLATING CO INC","Stack Air Releases","NEW HAVEN","CT","Chromium compounds","332 Fabricated Metals","False",905025
2011,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Cobalt","331 Primary Metals","False",904969
2009,"06708MRRRP346HU","MIRROR POLISHING & PLATING CO INC","Stack Air Releases","NEW HAVEN","CT","Chromium compounds","332 Fabricated Metals","False",903017
2010,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Cobalt","331 Primary Metals","False",902498
2008,"06708MRRRP346HU","MIRROR POLISHING & PLATING CO INC","Stack Air Releases","NEW HAVEN","CT","Chromium compounds","332 Fabricated Metals","False",901009
2009,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Cobalt","331 Primary Metals","False",900079
2007,"06708MRRRP346HU","MIRROR POLISHING & PLATING CO INC","Stack Air Releases","NEW HAVEN","CT","Chromium compounds","332 Fabricated Metals","False",899001
2008,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Cobalt","331 Primary Metals","False",897660
2007,"06787WHYCCWATER","WHYCO FINISHING TECHNOLOGIES","Stack Air Releases","LITCHFIELD","CT","Chromium compounds","332 Fabricated Metals","False",897265
2007,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Cobalt","331 Primary Metals","False",895241
2015,"06108PRTTW400MA","PRATT & WHITNEY","Fugitive Air Releases","HARTFORD","CT","Chromium","336 Transportation Equipment","False",879837
2014,"06108PRTTW400MA","PRATT & WHITNEY","Fugitive Air Releases","HARTFORD","CT","Chromium","336 Transportation Equipment","False",876027
2013,"06108PRTTW400MA","PRATT & WHITNEY","Fugitive Air Releases","HARTFORD","CT","Chromium","336 Transportation Equipment","False",872305
2012,"06473NTDST195MC","COVIDIEN LP","Stack Air Releases","NEW HAVEN","CT","Ethylene oxide","339 Miscellaneous Manufacturing","False",871562
2012,"06108PRTTW400MA","PRATT & WHITNEY","Fugitive Air Releases","HARTFORD","CT","Chromium","336 Transportation Equipment","False",868628
2009,"06473NTDST195MC","COVIDIEN LP","Stack Air Releases","NEW HAVEN","CT","Ethylene oxide","339 Miscellaneous Manufacturing","False",859694
2008,"06795KLRLN856EC","PPG INDUSTRIES INC WATERTOWN","Stack Air Releases","LITCHFIELD","CT","Chromium compounds","325 Chemicals","False",706898
2007,"06795KLRLN856EC","PPG INDUSTRIES INC WATERTOWN","Stack Air Releases","LITCHFIELD","CT","Chromium compounds","325 Chemicals","False",705085
2013,"06473NTDST195MC","COVIDIEN LP","Stack Air Releases","NEW HAVEN","CT","Ethylene oxide","339 Miscellaneous Manufacturing","False",662640
2016,"06473NTDST195MC","COVIDIEN LP","Stack Air Releases","NEW HAVEN","CT","Ethylene oxide","339 Miscellaneous Manufacturing","False",600127
2013,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Cobalt","331 Primary Metals","False",546115
2014,"06473NTDST195MC","COVIDIEN LP","Stack Air Releases","NEW HAVEN","CT","Ethylene oxide","339 Miscellaneous Manufacturing","False",482675
2007,"06601GNRLL1285B","GENERAL ELECTRIC CO","Stack Air Releases","FAIRFIELD","CT","Polycyclic aromatic compounds","335 Electrical Equipment","False",407431
2012,"06457PRTTWAIRCR","PRATT & WHITNEY","Fugitive Air Releases","MIDDLESEX","CT","Cobalt","336 Transportation Equipment","False",360905
2018,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Stack Air Releases","NEW HAVEN","CT","Cobalt compounds","331 Primary Metals","False",349168
2017,"06473NTDST195MC","COVIDIEN LP","Stack Air Releases","NEW HAVEN","CT","Ethylene oxide","339 Miscellaneous Manufacturing","False",316002
2018,"06473NTDST195MC","COVIDIEN LP","Stack Air Releases","NEW HAVEN","CT","Ethylene oxide","339 Miscellaneous Manufacturing","False",305453
2019,"06473NTDST195MC","COVIDIEN LP","Stack Air Releases","NEW HAVEN","CT","Ethylene oxide","339 Miscellaneous Manufacturing","False",294820
2015,"06473NTDST195MC","COVIDIEN LP","Stack Air Releases","NEW HAVEN","CT","Ethylene oxide","339 Miscellaneous Manufacturing","False",293850
2012,"06098HWMTCPRICE","ARCONIC INC","Fugitive Air Releases","LITCHFIELD","CT","Cobalt","336 Transportation Equipment","False",276988
2019,"06098HWMTCPRICE","ARCONIC INC","Fugitive Air Releases","LITCHFIELD","CT","Cobalt","336 Transportation Equipment","False",275255
2018,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Stack Air Releases","NEW HAVEN","CT","Nickel compounds","331 Primary Metals","False",232428
